Tweet,Labels,0,1,2,3,4,5,6,7,8,9,10
corona like strong unreal horror move everybody stay strong stay home take care much love,"[2, 5]",0,0,1,0,0,1,0,0,0,0,0
western country busy fight couid result terrorism stop world wide,"[0, 6, 7, 9]",1,0,0,0,0,0,1,1,0,1,0
im conspiracy theorist china set bioweapon profit,"[7, 9]",0,0,0,0,0,0,0,1,0,1,0
white butterfly clearly gave us clear signal someth bad go happen corona virus,"[3, 4, 5]",0,0,0,1,1,1,0,0,0,0,0
corona gon na say april fool it already,[10],0,0,0,0,0,0,0,0,0,0,1
never heard seen better thing corona curfew enforce,"[0, 1]",1,1,0,0,0,0,0,0,0,0,0
get play guess game allergic might already given wife deadly ill couid,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
know who also risk corona virus peopl live apart build,"[4, 6, 9]",0,0,0,0,1,0,1,0,0,1,0
mask arrive final hong kong wash mask twice detail thing extra caution,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
death india posit case,[8],0,0,0,0,0,0,0,0,1,0,0
my amir khan also come speak fellow muslim obey medic recess fight corona,"[0, 6]",1,0,0,0,0,0,1,0,0,0,0
elvis tri hang around schedule corona came fuck,"[5, 10]",0,0,0,0,0,1,0,0,0,0,1
sooo anybody made fan of couid cell work world,"[0, 6, 9, 10]",1,0,0,0,0,0,1,0,0,1,1
weep us pray family faith,[2],0,0,1,0,0,0,0,0,0,0,0
michel im gon na take nap wake corona earthquake happen damn god said ill wake,"[4, 6, 10]",0,0,0,0,1,0,1,0,0,0,1
pine couid toll death two posit patient health office,[8],0,0,0,0,0,0,0,0,1,0,0
blame palmar longer open life good implement new hour,"[5, 6]",0,0,0,0,0,1,1,0,0,0,0
i ofcourse there right ebay ship couid fuck swag right,[6],0,0,0,0,0,0,1,0,0,0,0
make corona finish,"[0, 3, 4, 5, 10]",1,0,0,1,1,1,0,0,0,0,1
end couid crisis im determine all speak cover romanian im move german friend,[0],1,0,0,0,0,0,0,0,0,0,0
parent drama corona like grandpa live long enough chill,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
satellite image show decline air pollute italy amid lockdown,"[0, 5, 8]",1,0,0,0,0,1,0,0,1,0,0
dacha his lock ya corona wish new ill let know lady,"[3, 10]",0,0,0,1,0,0,0,0,0,0,1
talk one that around i year novel couid,"[6, 7]",0,0,0,0,0,0,1,1,0,0,0
someone threw corona virus part peopl set apt whole ass do,"[6, 9]",0,0,0,0,0,0,1,0,0,1,0
need get sleep schedule toget corona decide get better got ta go back work ok,[10],0,0,0,0,0,0,0,0,0,0,1
true human right say lot regard dispose deadbolt la couid,"[0, 1, 9]",1,1,0,0,0,0,0,0,0,1,0
im work new blog couid chang college learn here atom setup,"[0, 5, 8, 9]",1,0,0,0,0,1,0,0,1,1,0
think time announce corona shit april fool prank thank,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
good lesson remind american peopl need new govern reliable source inform,"[6, 9]",0,0,0,0,0,0,1,0,0,1,0
blue check wakened can talk head angry keep actual journal couid,"[6, 8, 9]",0,0,0,0,0,0,1,0,1,1,0
get say corona break im good time im ready miss bailey,[5],0,0,0,0,0,1,0,0,0,0,0
get hair braid corona shit yall i word,"[0, 6, 10]",1,0,0,0,0,0,1,0,0,0,1
corona aroma really beemers wife aroma,[10],0,0,0,0,0,0,0,0,0,0,1
im hot ass butch in thanx corona style music last lifestyle thank suh send post card,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
imagine corona virus stuff april fool prank say like in porta,"[3, 7, 10]",0,0,0,1,0,0,0,1,0,0,1
anyon tell corona fuck proceed caus moth fucka bore mind,[6],0,0,0,0,0,0,1,0,0,0,0
real though society robot wipe everyone debt couid brooches much yall,"[0, 4]",1,0,0,0,1,0,0,0,0,0,0
baby there trend up spread lie corona april first i include lie,[6],0,0,0,0,0,0,1,0,0,0,0
eugen georg sort bill gate partner china drug,"[6, 7, 9]",0,0,0,0,0,0,1,1,0,1,0
sometime im mind busy hear card i say,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
orang chicken chinese food corona virus cant call chinese virus that racist pleas help understand,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
dont care anyon say couid definite decide remove,[10],0,0,0,0,0,0,0,0,0,0,1
corona virus today say hah april fool wake tomorrow semi normal world,"[0, 3, 10]",1,0,0,1,0,0,0,0,0,0,1
om brother game argue somebody tell that got kid crazy,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
good eat better final lose birth control weight boom corona quarantine snack boredom,"[5, 10]",0,0,0,0,0,1,0,0,0,0,1
swear anybody tri pull april fool prank chao,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
man say like listen pleas follow advice couid,[0],1,0,0,0,0,0,0,0,0,0,0
due corona office three day week yesterday today tomorrow,"[5, 10]",0,0,0,0,0,1,0,0,0,0,1
corona virus ruin senior year ok tho im make best,[0],1,0,0,0,0,0,0,0,0,0,0
today dylan internet couid,"[9, 10]",0,0,0,0,0,0,0,0,0,1,1
jan we feb australia wildfire march corona wait next thing gon na throw,"[3, 9, 10]",0,0,0,1,0,0,0,0,0,1,1
wait final india guess corona found religion happen muslim virus,"[3, 6, 10]",0,0,0,1,0,0,1,0,0,0,1
corona shit im deaf get butt cheek,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
anyth year earth gone get stay inside day hoe,"[5, 6, 9]",0,0,0,0,0,1,1,0,0,1,0
white hous predict die usa corona virus,"[8, 9]",0,0,0,0,0,0,0,0,1,1,0
corona virus god nature evil god jesus hand wash,[9],0,0,0,0,0,0,0,0,0,1,0
force real race war south africa peopl eye mind,"[3, 4, 9]",0,0,0,1,1,0,0,0,0,1,0
break foxes alert death toll us reach,[8],0,0,0,0,0,0,0,0,1,0,0
fact word corona dalton rhyme perfectly maybe reason behind trend,"[9, 10]",0,0,0,0,0,0,0,0,0,1,1
maybe release revolutionary new app month help detect contain couid,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
im scare buy weed ink corona fill finger bag shit,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
need stark remind couid challenge need wake better,[0],1,0,0,0,0,0,0,0,0,0,0
hero time mural ali shah pleas check increase corona virus case left punjab behind best perform,"[4, 6]",0,0,0,0,1,0,1,0,0,0,0
polio ki sarah door door corona test locally,"[4, 5, 9, 10]",0,0,0,0,1,1,0,0,0,1,1
news update time death rate lower stim study latest news hour,[8],0,0,0,0,0,0,0,0,1,0,0
blame bewitch carol basin put work owe lot money,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
corona case number keep increase couid,[4],0,0,0,0,1,0,0,0,0,0,0
work who friend italy test posit day got sick symptom,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
meanwhile jeffrey dahmer steroid aka she couid,[6],0,0,0,0,0,0,1,0,0,0,0
long diagnose vital opportune sector cease illuminati,"[7, 8, 9]",0,0,0,0,0,0,0,1,1,1,0
anyon els hope labor joke,"[9, 10]",0,0,0,0,0,0,0,0,0,1,1
im find stress see name trend click dread couid couid,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
pleas stop leav hous take stuff joke keep go friend stuff serious,[6],0,0,0,0,0,0,1,0,0,0,0
apply wonder hate best advertise campaign corona virus era,[10],0,0,0,0,0,0,0,0,0,0,1
dang office know someone test posit corona virus oil,"[4, 5]",0,0,0,0,1,1,0,0,0,0,0
go public grade shit in couid,"[3, 4, 5]",0,0,0,1,1,1,0,0,0,0,0
march confirm death,[8],0,0,0,0,0,0,0,0,1,0,0
smoke blunt da neck vic ring head best,[10],0,0,0,0,0,0,0,0,0,0,1
couid quarantine seen women rise men level thirst stake,"[3, 10]",0,0,0,1,0,0,0,0,0,0,1
got move theater size jack coke since gon na die anyway couid,"[3, 10]",0,0,0,1,0,0,0,0,0,0,1
ur director total ignore miss world china corona virus kill i worldwide fire income,[6],0,0,0,0,0,0,1,0,0,0,0
who ready everyone mother say isn't real april fool,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
chris time get sick come man kill corona come back screen hurry best,[0],1,0,0,0,0,0,0,0,0,0,0
would take razor scooter ankle time meant end corona,"[3, 5, 10]",0,0,0,1,0,1,0,0,0,0,1
naval politician peopl property infect compete credit save live,[6],0,0,0,0,0,0,1,0,0,0,0
couid lockdown situate like existent crisis hang head,"[4, 5, 9]",0,0,0,0,1,1,0,0,0,1,0
one thing sure corona virus really good environs,"[0, 1, 9]",1,1,0,0,0,0,0,0,0,1,0
suppose go euros fuck june fuck corona took big shit trip oh god,[6],0,0,0,0,0,0,1,0,0,0,0
start buy large bottle wine wouldnt empty day quarantine strategy couid,"[0, 3, 9, 10]",1,0,0,1,0,0,0,0,0,1,1
welcome april hope get better soon couid soon disappear earth,[0],1,0,0,0,0,0,0,0,0,0,0
bhilwarahasbecomeaglobalrolemodelbybreakingthecoronachainwitheffortsmadebythestategovern,"[1, 8]",0,1,0,0,0,0,0,0,1,0,0
asuka white hous project death us,"[5, 8, 9]",0,0,0,0,0,1,0,0,1,1,0
busy busy busy mani thing tandem creat work doubt couid,"[0, 9]",1,0,0,0,0,0,0,0,0,1,0
couid common rumors theyll take last breath last dime,"[5, 6]",0,0,0,0,0,1,1,0,0,0,0
friend certain age one play fever hot flash game couid,"[0, 5, 10]",1,0,0,0,0,1,0,0,0,0,1
hope china say april fool joke haha,[10],0,0,0,0,0,0,0,0,0,0,1
world think make joke april fool ok,[6],0,0,0,0,0,0,1,0,0,0,0
sure symptom corona virus arent bloat weight gain alcohol poison,[10],0,0,0,0,0,0,0,0,0,0,1
commerce deliver service work delhi food item couid delhi,"[0, 3, 7, 9]",1,0,0,1,0,0,0,1,0,1,0
still wait god tell us big april fool joke pal maybe couid,"[2, 10]",0,0,1,0,0,0,0,0,0,0,1
diary hello world today april mop pleas tell impede corona lie,"[0, 3, 10]",1,0,0,1,0,0,0,0,0,0,1
thank god hasn't stop new pop,"[0, 1]",1,1,0,0,0,0,0,0,0,0,0
relationship go like would like get test corona aid corona first,"[3, 10]",0,0,0,1,0,0,0,0,0,0,1
you use couid excuse give schedule got group,"[6, 9]",0,0,0,0,0,0,1,0,0,1,0
chopper corona virus laugh out loud south central sleep care suh,[10],0,0,0,0,0,0,0,0,0,0,1
free time be corona still cant seem figur respond pal bumble need help,"[5, 9]",0,0,0,0,0,1,0,0,0,1,0
death kenya curfew protect spread couid,"[1, 8]",0,1,0,0,0,0,0,0,1,0,0
corona kill the police already kill call prevent,"[0, 3, 6]",1,0,0,1,0,0,1,0,0,0,0
sigh within one month long month march,"[3, 5]",0,0,0,1,0,1,0,0,0,0,0
remem also touch face place like mouth nose and eye since corona virus enter body via part,"[0, 9]",1,0,0,0,0,0,0,0,0,1,0
cant kill god amaze sunset ever night,[0],1,0,0,0,0,0,0,0,0,0,0
never made much wrong world couid,"[3, 4]",0,0,0,1,1,0,0,0,0,0,0
kill meif get test couid im gon na ask put sleep serious,[4],0,0,0,0,1,0,0,0,0,0,0
corona big early april fool joke haha get haha,[10],0,0,0,0,0,0,0,0,0,0,1
depress news uplift tweet welcome back stable duncan,[0],1,0,0,0,0,0,0,0,0,0,0
actual year corona celebs make us fool,"[5, 10]",0,0,0,0,0,1,0,0,0,0,1
okay april fool day say like already,[10],0,0,0,0,0,0,0,0,0,0,1
thought april fool cancel caus,[10],0,0,0,0,0,0,0,0,0,0,1
really what widen plan corona virus detail pleas my fact,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
end world send nude everyone slightly like risk die couid couid,"[9, 10]",0,0,0,0,0,0,0,0,0,1,1
hope fart isn't among symptom couid rate fart since last week alarm,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
well said someth good also happen couid let us make full use,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
anyon make joke get corona get hand yep yep come joke bye,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
mile market remain open farmer still supply fresh produce couid,"[0, 8]",1,0,0,0,0,0,0,0,1,0,0
judiciary bias impress anti hindu anti nation media also jail safe prevent corona,"[3, 6, 7]",0,0,0,1,0,0,1,1,0,0,0
ministry health labor welfare sent survey line see might,"[1, 6, 9]",0,1,0,0,0,0,1,0,0,1,0
know ready box first nigga make joke,[10],0,0,0,0,0,0,0,0,0,0,1
new confirm case austria total place already worldwide couid austria,[8],0,0,0,0,0,0,0,0,1,0,0
you cant creat april fool joke corona virus man pal actual die be wif,"[5, 6, 10]",0,0,0,0,0,1,1,0,0,0,1
suck good news anyth good happen anyth couid,[3],0,0,0,1,0,0,0,0,0,0,0
gon na badass ive got joke day instead classic pregnant joke unit suh might sleep day avoid,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
speak daddy probably meet may stupid corona,[5],0,0,0,0,0,1,0,0,0,0,0
corona virus help environs air earth get cleaner,"[0, 1]",1,1,0,0,0,0,0,0,0,0,0
corona go prevent rural drag race season final happen,"[3, 10]",0,0,0,1,0,0,0,0,0,0,1
must fought everyone collect devil us religion line muslim islam,"[0, 5, 6]",1,0,0,0,0,1,1,0,0,0,0
today okay feel good corona virus job search really hard mental health,"[4, 5]",0,0,0,0,1,1,0,0,0,0,0
colleague talk human response couid,"[4, 8, 9]",0,0,0,0,1,0,0,0,1,1,0
biggest fail right usa uk govern,"[6, 9]",0,0,0,0,0,0,1,0,0,1,0
kapoor call corona tanya nobody issue,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
florida tea among other need start act,"[6, 8]",0,0,0,0,0,0,1,0,1,0,0
call islam corona jihad talk jamal make full india lockdown terrorist,"[3, 7]",0,0,0,1,0,0,0,1,0,0,0
thought im gon na drink bottle wine let review,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
di corona tin na scam oo na compete country dey country highest corona case world bank go give dem money,"[6, 9]",0,0,0,0,0,0,1,0,0,1,0
can expert alex lick talk financial difficult american experience be,[8],0,0,0,0,0,0,0,0,1,0,0
sit back let corona case death rack,[4],0,0,0,0,1,0,0,0,0,0,0
tomorrow news trump gon na like april fool corona virus isn't real,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
ima wait someone say april fool joke tomorrow,[10],0,0,0,0,0,0,0,0,0,0,1
one import question explore long couid live fake fur,"[3, 4, 9, 10]",0,0,0,1,1,0,0,0,0,1,1
implement task for ban travel nice tri sweetheart,"[6, 8, 10]",0,0,0,0,0,0,1,0,1,0,1
time emma stress corona waffle hous close bitch emma get waffle,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
lao ink yall sister befriend happy place laugh out loud shit gone corona toget at,[10],0,0,0,0,0,0,0,0,0,0,1
i feel like woke hour ago hate go away,"[5, 6]",0,0,0,0,0,1,1,0,0,0,0
ever state count city neighborhood come yet mani still wait act couid,"[1, 4, 6]",0,1,0,0,1,0,1,0,0,0,0
wouldnt wild whole tandem big april fool day prank couid,"[0, 9, 10]",1,0,0,0,0,0,0,0,0,1,1
pleas care safe expect go around,"[2, 5]",0,0,1,0,0,1,0,0,0,0,0
use twitter not pal focus corona virus help need citizen peace peace peace,[0],1,0,0,0,0,0,0,0,0,0,0
talk doctor friend appear number one way get taint toilet paper thank karma,"[4, 6]",0,0,0,0,1,0,1,0,0,0,0
sarcasm gov disease liar gov allow spread canada,"[6, 7]",0,0,0,0,0,0,1,1,0,0,0
corona patient recon private hospital employ foot bill is lakh,"[0, 8]",1,0,0,0,0,0,0,0,1,0,0
march come pass couid seem fore last wake april end couid couid greedy,[3],0,0,0,1,0,0,0,0,0,0,0
miss sing heart church ever sunday corona go away,"[5, 6]",0,0,0,0,0,1,1,0,0,0,0
open saga back corona think need petit,"[5, 6, 9, 10]",0,0,0,0,0,1,1,0,0,1,1
mom fu feed bill gate go fuck inject peopl corona virus microchip implant,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
risk get corona go store buy modern warfare campaign recast,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
come attent dont qualify supplement fortnight student bent,"[4, 6, 9]",0,0,0,0,1,0,1,0,0,1,0
couid pleas end soon possible wan na meet bebe family,[5],0,0,0,0,0,1,0,0,0,0,0
listen granny your told yer selfish twat couid,"[1, 6, 10]",0,1,0,0,0,0,1,0,0,0,1
hell way kick couid,"[6, 9]",0,0,0,0,0,0,1,0,0,1,0
happy april fool yall pleas stay safe sent situate aka dont make couid joke,"[0, 6]",1,0,0,0,0,0,1,0,0,0,0
anyon know russia syria north korea corona virus hear anyth country,[9],0,0,0,0,0,0,0,0,0,1,0
final roam around world corona accept islam india,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
die lucky think,"[3, 4, 8]",0,0,0,1,1,0,0,0,1,0,0
hear word corona one mo time im beat somebody ass,[6],0,0,0,0,0,0,1,0,0,0,0
gillian corona hara hotel marc pen staccato a,[5],0,0,0,0,0,1,0,0,0,0,0
spoke doctor anyth confirm cure effect,"[0, 1]",1,1,0,0,0,0,0,0,0,0,0
yall think canvas update logo one look much like laugh out loud,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
plea ask bid govern instruct,"[0, 1, 8]",1,1,0,0,0,0,0,0,1,0,0
appear peopl die corona bar that crazy stuff right,"[3, 4, 9]",0,0,0,1,1,0,0,0,0,1,0
xavier wolf attack titan tape like project i into office disappear,[10],0,0,0,0,0,0,0,0,0,0,1
inflame lung kill you corona virus dad walk pneumonia know,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
peopl dumb act stupid corona cant easily kill young adult huh,[6],0,0,0,0,0,0,1,0,0,0,0
laugh out loud april i doctor told one year live nigga made,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
let us forget primary doubt speak,"[0, 6, 9, 10]",1,0,0,0,0,0,1,0,0,1,1
twang get fuck bad need cure corona impede stop hang family im beg,[6],0,0,0,0,0,0,1,0,0,0,0
corona virus tandem go leav peopl bankrupt dead,"[3, 4]",0,0,0,1,1,0,0,0,0,0,0
keep mask close keep saint closer mario puto couid,"[4, 8, 9]",0,0,0,0,1,0,0,0,1,1,0
go die couid stop tune day ago,"[0, 6, 9, 10]",1,0,0,0,0,0,1,0,0,1,1
wish make cash don't help stop speed corona virus may pleas,"[0, 1, 9]",1,1,0,0,0,0,0,0,0,1,0
april fool everyone really expense joke haha isn't real go back live wish would happen,[10],0,0,0,0,0,0,0,0,0,0,1
much longer til life got back normal couid,"[0, 4, 5]",1,0,0,0,1,1,0,0,0,0,0
really dont think joke corona time like,"[2, 6]",0,0,1,0,0,0,1,0,0,0,0
china made whole world fall report couid spread,"[6, 7, 9]",0,0,0,0,0,0,1,1,0,1,0
ca moron support pedal drug unrest fight couid,[6],0,0,0,0,0,0,1,0,0,0,0
suppose know sicker complex thing come couid,[4],0,0,0,0,1,0,0,0,0,0,0
yup sigh it peopl concern bengali inept couid amaze,"[3, 6, 10]",0,0,0,1,0,0,1,0,0,0,1
ever nursed profession frontline couid crisis get hazard pay crazy mani,"[1, 8]",0,1,0,0,0,0,0,0,1,0,0
groundhog get worry gu second famous ground hog pennsylvania,"[4, 6]",0,0,0,0,1,0,1,0,0,0,0
young nigga die corona immune system aint strong enough don't plasma,"[5, 10]",0,0,0,0,0,1,0,0,0,0,1
next year jerusalem homemade selfie fish world vaccine,[0],1,0,0,0,0,0,0,0,0,0,0
well office april it one come said whole corona thing joke,"[3, 5, 9]",0,0,0,1,0,1,0,0,0,1,0
reason spread fast tri outdo idol plague current ravage world,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
break jamal don't patient am relief fund,[8],0,0,0,0,0,0,0,0,1,0,0
govern gone fuk around say april fool bout corona da it,[10],0,0,0,0,0,0,0,0,0,0,1
april fool day work colleague die aint joke rip,"[5, 6]",0,0,0,0,0,1,1,0,0,0,0
ok get april fool haha say corona joke,[10],0,0,0,0,0,0,0,0,0,0,1
mention infect virus nurse home reside die couid,"[5, 8]",0,0,0,0,0,1,0,0,1,0,0
rip beauty soul already taken i i e e stardom socialist sixteen,"[2, 4]",0,0,1,0,1,0,0,0,0,0,0
aint sit right spirit do joseph lower wont get proper finer deserve i corona fa real,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
corona virus question get virus smell fart of travel farther social distance,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
like comment mean think chinese deserve corona virus,"[6, 7, 9, 10]",0,0,0,0,0,0,1,1,0,1,1
nasa put pound corona virus period mum feed ever hour aki,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
checkout page good content raw footage twitter page couid,"[0, 8, 9]",1,0,0,0,0,0,0,0,1,1,0
boyfriend complain he gon na gain got the serv dinner couid,[10],0,0,0,0,0,0,0,0,0,0,1
hear suddenly say corona real card i voice ever hour,[10],0,0,0,0,0,0,0,0,0,0,1
corona anxiety real month jobless hous chicago,"[4, 5]",0,0,0,0,1,1,0,0,0,0,0
feu must enjoy other work get amass crore name couid,"[6, 9]",0,0,0,0,0,0,1,0,0,1,0
think social accept drink pint straw,"[9, 10]",0,0,0,0,0,0,0,0,0,1,1
dont know everybody worry catch corona virus im worry catch stuff hurt,"[4, 10]",0,0,0,0,1,0,0,0,0,0,1
saw segment trump administer purchase monkey test couid treatment source,"[3, 7, 9]",0,0,0,1,0,0,0,1,0,1,0
love relationship china like tiptoe corona,[10],0,0,0,0,0,0,0,0,0,0,1
happy new month may di new month drive corona away stays stay,[0],1,0,0,0,0,0,0,0,0,0,0
swear single joke tomorrow corona virus sport back quarantine,[6],0,0,0,0,0,0,1,0,0,0,0
corona cancel last seest high school sure even think touch family disney trip julia site,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
everyone tell peopl got say april fool hope get hit fuck car,[6],0,0,0,0,0,0,1,0,0,0,0
us doctor nurse oversea deeper come home border close,[8],0,0,0,0,0,0,0,0,1,0,0
march saw us case go,"[4, 8, 9]",0,0,0,0,1,0,0,0,1,1,0
lady avoid crowd place like boyfriend heart couid,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
package come ny basic im gon na get corona,"[3, 4]",0,0,0,1,1,0,0,0,0,0,0
oil become four time cheaper water joke,"[4, 6, 9, 10]",0,0,0,0,1,0,1,0,0,1,1
year kobe die helicopter crash isn't even biggest news headline lo angel i couid,"[3, 5, 9]",0,0,0,1,0,1,0,0,0,1,0
hope peopl start act sens urgent restraint couid,[0],1,0,0,0,0,0,0,0,0,0,0
oops leland decide reopen park isn't already fuck us complete,"[6, 9]",0,0,0,0,0,0,1,0,0,1,0
due usa mexico request hurry build wall laugh out loud,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
human female malaysian tiger bronx zoo new york test posit,"[4, 8]",0,0,0,0,1,0,0,0,1,0,0
korea report case new total ea first squawk robot group,[8],0,0,0,0,0,0,0,0,1,0,0
alright corona shit got serious ima stay ass home sunday sunday,"[4, 5, 6]",0,0,0,0,1,1,1,0,0,0,0
it pin tweet let peopl know make money online couid quarantine,"[0, 9, 10]",1,0,0,0,0,0,0,0,0,1,1
dear couid enough mess around scare better ruin armada fast,[6],0,0,0,0,0,0,1,0,0,0,0
yall sister sent money name merry corona love,[10],0,0,0,0,0,0,0,0,0,0,1
need conspiracy documentary avail netflix already pick side,"[7, 9, 10]",0,0,0,0,0,0,0,1,0,1,1
singapore lockdown doesn't magic stop couid you think social distance i penal company individual,"[6, 7, 9, 10]",0,0,0,0,0,0,1,1,0,1,1
look use tandem excuse shill murder regime support,"[6, 10]",0,0,0,0,0,0,1,0,0,0,1
since nigga cant match caus corona le facetime i match,[10],0,0,0,0,0,0,0,0,0,0,1
dey tell say mo guy guru die dey day corona kill amend in chill last week stay,"[0, 6, 7]",1,0,0,0,0,0,1,1,0,0,0
hey really trump response trump everyth smell like trump,"[1, 6]",0,1,0,0,0,0,1,0,0,0,0
exit afraid corona virus brought citizen afraid hunger deliver creat exit,"[4, 9]",0,0,0,0,1,0,0,0,0,1,0
still havent said april fool corona virus,"[5, 10]",0,0,0,0,0,1,0,0,0,0,1
sloth wednesday what greatest fear corona comment other,"[4, 9]",0,0,0,0,1,0,0,0,0,1,0
imagine first person get corona still alive wan na talk,"[3, 4, 9, 10]",0,0,0,1,1,0,0,0,0,1,1
caleb finn get epic install life universe let poor man breath,"[3, 10]",0,0,0,1,0,0,0,0,0,0,1
worry pleas,"[4, 9]",0,0,0,0,1,0,0,0,0,1,0
turn real death panel bunch deeper,"[6, 7]",0,0,0,0,0,0,1,1,0,0,0
corona gone get you hoe fucked pleas dont test,"[4, 6, 10]",0,0,0,0,1,0,1,0,0,0,1
april the predict peak unit state oo,"[5, 6, 10]",0,0,0,0,0,1,1,0,0,0,1
im hope tomorrow say april fool let us go back regular lifestyle,"[0, 10]",1,0,0,0,0,0,0,0,0,0,1
